iter	Passed	Remaining
0	147	146959
1	147	73609
2	147	49169
3	148	36928
4	148	29588
5	149	24689
6	149	21199
7	149	18579
8	150	16537
9	150	14902
10	150	13563
11	151	12452
12	151	11515
13	152	10713
14	152	10013
15	152	9402
16	153	8863
17	153	8385
18	154	7955
19	154	7568
20	154	7217
21	155	6901
22	155	6611
23	155	6342
24	156	6097
25	156	5869
26	157	5658
27	157	5462
28	157	5282
29	158	5113
30	158	4956
31	159	4810
32	159	4671
33	159	4539
34	160	4414
35	160	4296
36	160	4185
37	161	4079
38	161	3979
39	161	3883
40	162	3792
41	162	3706
42	162	3626
43	163	3549
44	163	3474
45	164	3402
46	164	3335
47	165	3274
48	165	3211
49	165	3150
50	166	3091
51	166	3035
52	166	2981
53	167	2928
54	167	2878
55	167	2829
56	168	2782
57	168	2736
58	168	2692
59	169	2650
60	169	2608
61	169	2569
62	170	2530
63	170	2493
64	170	2457
65	171	2421
66	171	2387
67	171	2352
68	171	2320
69	172	2288
70	172	2258
71	172	2228
72	173	2200
73	173	2172
74	173	2144
75	174	2118
76	174	2092
77	174	2066
78	175	2042
79	175	2018
80	175	1994
81	176	1971
82	176	1949
83	176	1927
84	176	1905
85	177	1884
86	177	1863
87	177	1843
88	178	1823
89	178	1804
90	178	1786
91	179	1767
92	179	1750
93	179	1733
94	180	1717
95	180	1701
96	181	1685
97	181	1669
98	181	1653
99	182	1638
100	182	1624
101	182	1608
102	183	1594
103	183	1580
104	183	1566
105	184	1552
106	184	1538
107	184	1525
108	185	1512
109	185	1499
110	185	1487
111	186	1475
112	186	1462
113	186	1451
114	187	1439
115	187	1427
116	187	1415
117	187	1404
118	188	1393
119	188	1382
120	188	1371
121	189	1361
122	189	1349
123	189	1339
124	189	1329
125	190	1320
126	190	1310
127	190	1300
128	191	1290
129	191	1281
130	191	1272
131	192	1263
132	192	1254
133	192	1245
134	193	1237
135	193	1228
136	193	1220
137	194	1212
138	194	1204
139	194	1197
140	195	1189
141	195	1181
142	195	1173
143	196	1166
144	196	1158
145	196	1151
146	197	1144
147	197	1137
148	197	1129
149	198	1122
150	198	1116
151	198	1109
152	199	1102
153	199	1095
154	199	1088
155	200	1082
156	200	1075
157	200	1069
158	200	1062
159	201	1056
160	201	1050
161	201	1044
162	202	1038
163	202	1032
164	202	1026
165	203	1020
166	203	1014
167	203	1009
168	204	1003
169	204	997
170	204	992
171	205	986
172	205	981
173	205	976
174	205	970
175	206	965
176	206	960
177	206	955
178	207	950
179	207	945
180	207	939
181	208	934
182	208	930
183	208	926
184	209	921
185	209	917
186	210	913
187	210	908
188	210	904
189	211	900
190	211	895
191	211	891
192	212	887
193	212	882
194	212	878
195	213	874
196	213	869
197	213	865
198	214	861
199	214	857
200	214	853
201	215	849
202	215	845
203	215	841
204	215	837
205	216	833
206	216	829
207	216	825
208	217	822
209	217	818
210	217	814
211	218	810
212	218	807
213	218	803
214	219	800
215	219	796
216	219	792
217	220	789
218	220	785
219	220	782
220	220	778
221	221	775
222	221	772
223	221	768
224	222	765
225	222	762
226	223	759
227	223	757
228	223	753
229	224	750
230	224	748
231	225	745
232	225	741
233	225	738
234	226	735
235	226	732
236	226	729
237	226	726
238	227	723
239	227	720
240	227	717
241	228	714
242	228	712
243	228	709
244	229	706
245	229	703
246	229	700
247	230	698
248	230	695
249	230	692
250	231	689
251	231	687
252	231	684
253	232	681
254	232	678
255	232	676
256	233	673
257	233	671
258	233	668
259	233	665
260	234	663
261	234	660
262	234	658
263	235	655
264	235	653
265	235	650
266	236	648
267	236	645
268	236	643
269	236	640
270	237	638
271	237	636
272	238	635
273	238	633
274	239	631
275	239	628
276	240	626
277	240	625
278	241	622
279	241	620
280	241	618
281	242	616
282	242	613
283	242	611
284	242	609
285	243	607
286	243	605
287	243	602
288	244	600
289	244	598
290	244	596
291	245	594
292	245	592
293	245	590
294	246	588
295	246	586
296	246	584
297	247	582
298	247	579
299	247	577
300	247	575
301	248	573
302	248	571
303	248	569
304	249	567
305	249	565
306	249	563
307	250	562
308	250	560
309	250	558
310	251	556
311	251	554
312	251	552
313	252	550
314	252	548
315	252	547
316	253	545
317	253	543
318	253	541
319	254	539
320	254	538
321	254	536
322	255	534
323	255	532
324	255	530
325	255	529
326	256	527
327	256	525
328	256	523
329	257	522
330	257	520
331	257	518
332	258	517
333	258	515
334	258	513
335	259	511
336	259	510
337	259	508
338	260	507
339	260	505
340	260	503
341	260	502
342	261	500
343	261	498
344	261	497
345	262	495
346	262	493
347	262	492
348	263	490
349	263	489
350	263	487
351	264	486
352	264	484
353	264	483
354	265	481
355	265	479
356	265	478
357	265	476
358	266	475
359	266	474
360	267	472
361	267	471
362	267	469
363	268	468
364	268	467
365	268	465
366	269	464
367	269	462
368	269	461
369	270	459
370	270	458
371	270	456
372	270	455
373	271	454
374	271	452
375	271	451
376	272	449
377	272	448
378	272	447
379	273	445
380	273	444
381	273	442
382	274	441
383	274	440
384	274	438
385	275	437
386	275	436
387	275	434
388	275	433
389	276	432
390	276	430
391	276	429
392	277	428
393	277	426
394	277	425
395	278	424
396	278	422
397	278	421
398	279	420
399	279	419
400	279	417
401	280	416
402	280	415
403	280	414
404	281	412
405	281	411
406	281	410
407	282	409
408	282	408
409	282	407
410	283	405
411	283	404
412	283	403
413	284	402
414	284	401
415	284	399
416	285	398
417	285	397
418	285	396
419	286	395
420	286	393
421	286	392
422	287	391
423	287	390
424	287	389
425	288	388
426	288	386
427	288	385
428	288	384
429	289	383
430	289	382
431	289	381
432	290	380
433	290	378
434	290	377
435	291	376
436	291	375
437	291	374
438	292	373
439	292	372
440	292	371
441	293	370
442	293	368
443	293	367
444	294	366
445	294	365
446	294	364
447	295	363
448	295	362
449	295	361
450	296	360
451	296	359
452	296	358
453	297	357
454	297	356
455	297	355
456	298	354
457	298	353
458	298	352
459	299	351
460	299	350
461	299	349
462	300	348
463	300	347
464	300	345
465	301	344
466	301	343
467	301	342
468	301	341
469	302	340
470	302	339
471	302	338
472	303	337
473	303	336
474	303	335
475	304	334
476	304	333
477	304	332
478	305	331
479	305	330
480	305	329
481	306	328
482	306	327
483	306	326
484	306	325
485	307	324
486	307	324
487	307	323
488	308	322
489	308	321
490	308	320
491	309	319
492	309	318
493	309	317
494	310	316
495	310	315
496	310	314
497	311	313
498	311	312
499	311	311
500	312	310
501	312	310
502	312	309
503	313	308
504	313	307
505	313	306
506	314	305
507	314	304
508	314	303
509	315	302
510	315	301
511	315	300
512	315	299
513	316	299
514	316	298
515	316	297
516	317	296
517	317	295
518	317	294
519	318	293
520	318	292
521	318	291
522	319	291
523	319	290
524	319	289
525	320	288
526	320	287
527	320	286
528	321	285
529	321	285
530	321	284
531	322	283
532	322	282
533	322	281
534	323	280
535	323	279
536	323	279
537	324	278
538	324	277
539	324	276
540	325	275
541	325	275
542	325	274
543	326	273
544	326	272
545	326	271
546	327	270
547	327	270
548	327	269
549	328	268
550	328	267
551	328	266
552	329	266
553	329	265
554	329	264
555	330	263
556	330	262
557	330	261
558	330	261
559	331	260
560	331	259
561	331	258
562	332	257
563	332	257
564	332	256
565	333	255
566	333	254
567	333	253
568	334	253
569	334	252
570	334	251
571	334	250
572	335	249
573	335	249
574	335	248
575	336	247
576	336	246
577	336	245
578	337	245
579	337	244
580	337	243
581	338	242
582	338	242
583	338	241
584	339	240
585	339	239
586	339	239
587	340	238
588	340	237
589	340	236
590	341	236
591	341	235
592	341	234
593	342	233
594	342	233
595	342	232
596	343	231
597	343	230
598	343	230
599	344	229
600	344	228
601	344	227
602	345	227
603	345	226
604	345	225
605	345	224
606	346	224
607	346	223
608	346	222
609	347	222
610	347	221
611	347	220
612	348	219
613	348	219
614	348	218
615	349	217
616	349	216
617	349	216
618	350	215
619	350	214
620	350	214
621	351	213
622	351	212
623	352	212
624	352	211
625	352	210
626	353	210
627	353	209
628	353	208
629	354	208
630	354	207
631	355	206
632	355	206
633	355	205
634	356	204
635	356	204
636	356	203
637	357	202
638	357	202
639	357	201
640	358	200
641	358	199
642	358	199
643	359	198
644	359	197
645	360	197
646	360	196
647	360	195
648	361	195
649	361	194
650	361	193
651	362	193
652	362	192
653	362	192
654	363	191
655	363	190
656	363	189
657	364	189
658	364	188
659	364	187
660	365	187
661	365	186
662	365	185
663	366	185
664	366	184
665	366	183
666	367	183
667	367	182
668	367	181
669	368	181
670	368	180
671	368	180
672	369	179
673	369	178
674	369	178
675	370	177
676	370	176
677	371	176
678	371	175
679	371	174
680	372	174
681	372	173
682	372	173
683	373	172
684	373	171
685	373	171
686	374	170
687	374	169
688	374	169
689	375	168
690	375	167
691	375	167
692	376	166
693	376	165
694	376	165
695	377	164
696	377	164
697	377	163
698	378	162
699	378	162
700	378	161
701	378	160
702	379	160
703	379	159
704	379	158
