iter	Passed	Remaining
0	0	671
1	1	528
2	1	480
3	1	453
4	2	435
5	2	420
6	2	409
7	3	403
8	3	398
9	3	393
10	4	390
11	4	387
12	5	385
13	5	382
14	5	379
15	6	375
16	6	374
17	6	372
18	7	370
19	7	369
20	7	369
21	8	369
22	8	368
23	9	367
24	9	366
25	9	365
26	10	364
27	10	363
28	10	364
29	11	363
30	11	363
31	11	362
32	12	361
33	12	361
34	13	364
35	13	365
36	14	364
37	14	363
38	14	362
39	15	361
40	15	361
41	15	360
42	16	359
43	16	358
44	16	357
45	17	356
46	17	355
47	17	354
48	18	353
49	18	353
50	18	352
51	19	351
52	19	350
53	19	349
54	20	348
55	20	348
56	21	347
57	21	347
58	21	346
59	22	346
60	22	345
61	22	345
62	23	344
63	23	343
64	23	343
65	24	342
66	24	341
67	24	341
68	25	340
69	25	340
70	25	339
71	26	338
72	26	337
73	27	338
74	27	337
75	27	338
76	28	338
77	28	340
78	29	340
79	29	339
80	29	339
81	30	338
82	30	336
83	30	337
84	31	337
85	31	336
86	32	336
87	32	335
88	32	335
89	33	334
90	33	333
91	33	333
92	34	332
93	34	332
94	34	331
95	35	331
96	35	330
97	35	330
98	36	329
99	36	329
100	36	328
101	37	328
102	37	328
103	38	327
104	38	327
105	38	326
106	39	326
107	39	325
108	39	325
109	40	324
110	40	324
111	40	324
112	41	323
113	41	323
114	41	322
115	42	322
116	42	321
117	43	322
118	43	322
119	43	322
120	44	322
121	44	322
122	45	321
123	45	321
124	45	320
125	46	320
126	46	319
127	46	319
128	47	318
129	47	318
130	47	317
131	48	317
132	48	317
133	48	316
134	49	316
135	49	315
136	50	315
137	50	314
138	50	314
139	51	314
140	51	313
141	51	312
142	52	312
143	52	311
144	52	311
145	53	311
146	53	310
147	53	310
148	54	309
149	54	309
150	54	308
151	55	308
152	55	308
153	56	307
154	56	307
155	56	307
156	57	307
157	57	307
158	58	307
159	58	306
160	58	305
161	59	305
162	59	305
163	59	304
164	60	304
165	60	303
166	60	303
167	61	303
168	61	302
169	61	302
170	62	302
171	62	301
172	63	301
173	63	300
174	63	300
175	64	299
176	64	299
177	64	299
178	65	298
179	65	298
180	65	297
181	66	297
182	66	296
183	66	296
184	67	295
185	67	295
186	67	295
187	68	294
188	68	294
189	68	294
190	69	293
191	69	293
192	70	292
193	70	292
194	70	292
195	71	292
196	71	292
197	72	291
198	72	291
199	72	290
200	73	290
201	73	290
202	73	289
203	74	289
204	74	288
205	74	288
206	75	287
207	75	287
208	75	287
209	76	286
210	76	286
211	76	285
212	77	285
213	77	285
214	77	284
215	78	284
216	78	283
217	78	283
218	79	282
219	79	282
220	79	281
221	80	281
222	80	280
223	80	280
224	81	280
225	81	279
226	82	279
227	82	278
228	82	278
229	83	278
230	83	277
231	83	277
232	84	276
233	84	276
234	84	276
235	85	275
236	85	275
237	85	275
238	86	274
239	86	274
240	87	274
241	87	273
242	87	273
243	88	272
244	88	272
245	88	272
246	89	271
247	89	271
248	89	270
249	90	270
250	90	270
251	90	269
252	91	269
253	91	268
254	91	268
255	92	268
256	92	267
257	92	267
258	93	266
259	93	266
260	93	265
261	94	265
262	94	265
263	94	264
264	95	264
265	95	263
266	96	263
267	96	263
268	96	262
269	97	262
270	97	262
271	97	261
272	98	261
273	98	260
274	98	260
275	99	260
276	99	259
277	99	259
278	100	259
279	100	259
280	101	259
281	101	258
282	101	258
283	102	257
284	102	257
285	102	257
286	103	256
